ItemId,Name,Comment,AIComment,Tag0,Tag1,Tag2,Tag3,Tag4,Tag5,Location,Type,TimeStamp,Size
-4,Item 1,My Item 1,AI Item 1,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,100
-5,Item 1,11,1201,Open,Personal,Tag2,Tag3,Tag4,Tag5,Home,Doc,12/1/2019,100
-6,Item 1,11,1201,Open,Personal,Tag2,Tag3,Tag4,Tag5,Home,Doc,12/1/2019,110
-7,Item 10,My Item 10,AI Item 10,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,120
-8,Item 11,My Item 11,AI Item 11,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,130
-9,Item 12,My Item 12,AI Item 12,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,140
-10,Item 13,My Item 13,AI Item 13,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,150
-11,Item 14,My Item 14,AI Item 14,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,160
-12,Item 15,My Item 15,AI Item 15,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,170
-13,Item 16,My Item 16,AI Item 16,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,180
-14,Item 17,My Item 17,AI Item 17,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,190
-16,Item 18,My Item 18,AI Item 18,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,200
-18,Item 19,My Item 19,AI Item 19,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,210
-20,Item 2,My Item 2,AI Item 2,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,220
-22,Item 2,22,1222,Close,Education,Tag2,Tag3,Tag4,Tag5,Home,Doc,12/1/2019,230
-24,Item 3,My Item 3,AI Item 3,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,240
-26,Item 4,My Item 4,AI Item 4,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,250
-27,Item 5,My Item 5,AI Item 5,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,260
-28,Item 6,My Item 6,AI Item 6,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,270
-29,Item 7,My Item 7,AI Item 7,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,280
-30,Item 8,My Item 8,AI Item 8,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,290
-31,Item 9,My Item 9,AI Item 9,Open,Personal,Tag2,Tag3,Tag4,Tag5,Work1,Doc,12/1/2019,300
